Team,GoalScored,Ball Possession %,Attempts,On-Target,Off-Target,Blocked,Corners,Offsides,Free Kicks,Saves,Pass Accuracy %,Passes,Distance Covered (Kms),Fouls Committed,Yellow Card,Yellow & Red,Red,1st Goal,Goals in PSO,Own goals,Own goal Time
Argentina,1.5,63.75,13.25,4.5,4.0,4.75,6.0,1.5,20.5,1.5,85.75,583.75,99.75,13.75,2.75,0.0,0.0,24.666666666666668,0.0,,
Australia,0.6666666666666666,51.0,10.666666666666666,2.6666666666666665,4.666666666666667,3.3333333333333335,4.666666666666667,1.0,12.333333333333334,3.3333333333333335,85.33333333333333,488.3333333333333,110.0,12.333333333333334,2.3333333333333335,0.0,0.0,50.0,0.0,1.0,81.0
Belgium,2.2857142857142856,52.42857142857143,15.142857142857142,5.714285714285714,5.714285714285714,3.7142857142857144,5.571428571428571,1.1428571428571428,12.571428571428571,3.857142857142857,87.0,528.2857142857143,105.0,14.142857142857142,1.5714285714285714,0.0,0.0,31.666666666666668,0.0,,
Brazil,1.6,55.6,20.6,7.6,7.0,6.0,8.4,1.8,16.8,1.0,87.6,567.8,101.8,10.0,1.4,0.0,0.0,49.25,0.0,1.0,13.0
Colombia,1.5,50.25,9.75,3.0,3.5,3.25,3.25,1.75,14.75,2.5,81.25,453.25,109.25,15.75,2.25,0.0,0.25,60.75,0.75,,
Costa Rica,0.6666666666666666,41.333333333333336,9.333333333333334,3.0,4.333333333333333,2.0,3.6666666666666665,1.6666666666666667,14.0,3.3333333333333335,79.33333333333333,349.0,106.33333333333333,14.333333333333334,2.0,0.0,0.0,56.0,0.0,,
Croatia,2.0,55.142857142857146,16.428571428571427,4.142857142857143,8.285714285714286,4.0,5.714285714285714,1.2857142857142858,17.571428571428573,2.857142857142857,82.28571428571429,558.0,117.57142857142857,16.285714285714285,2.142857142857143,0.0,0.0,39.57142857142857,1.0,,
Denmark,0.75,45.25,10.0,3.0,5.5,1.5,4.5,1.25,9.5,5.25,80.25,411.0,115.75,13.5,1.5,0.0,0.0,22.333333333333332,0.5,,
Egypt,0.6666666666666666,45.0,9.666666666666666,1.6666666666666667,5.666666666666667,2.3333333333333335,2.0,1.3333333333333333,8.666666666666666,3.0,80.33333333333333,396.6666666666667,109.33333333333333,12.666666666666666,1.6666666666666667,0.0,0.0,34.5,0.0,1.0,47.0
England,1.7142857142857142,53.714285714285715,13.714285714285714,3.5714285714285716,6.142857142857143,4.0,5.571428571428571,2.142857142857143,16.571428571428573,2.4285714285714284,86.57142857142857,548.8571428571429,117.71428571428571,10.285714285714286,1.1428571428571428,0.0,0.0,27.0,0.5714285714285714,,
France,2.0,47.857142857142854,11.714285714285714,4.285714285714286,5.142857142857143,2.2857142857142856,3.0,0.42857142857142855,15.714285714285714,1.8571428571428572,82.42857142857143,435.14285714285717,101.0,13.285714285714286,1.7142857142857142,0.0,0.0,35.666666666666664,0.0,1.0,18.0
